Order_ID,Product_ID,User_ID,Order_Date,Return_Date,Product_Category,Product_Price,Order_Quantity,Return_Reason,Return_Status,Days_to_Return,User_Age,User_Gender,User_Location,Payment_Method,Shipping_Method,Discount_Applied,total_value,is_returned,Age_Group,return_risk_score
ORD00000028,PROD00000028,USER00000028,15-05-24,05-09-24,Toys,106.6,5,Defective,Returned,113.0,53,Male,Other,Credit Card,Standard,18.42,533.0,1,46–55,0.4459135919732092
ORD00000029,PROD00000029,USER00000029,06-04-24,,Books,317.9,5,,Not Returned,,59,Female,Other,Gift Card,Standard,18.05,1589.5,0,56–65,0.3894668327774449
ORD00000030,PROD00000030,USER00000030,02-05-23,,Toys,413.34,3,,Not Returned,,49,Male,Other,Credit Card,Standard,38.29,1240.02,0,46–55,0.4604659860840873
ORD00000031,PROD00000031,USER00000031,09-12-23,,Electronics,481.73,5,,Not Returned,,28,Female,Other,Credit Card,Next-Day,20.03,2408.65,0,26–35,0.5240784351316586
ORD00000032,PROD00000032,USER00000032,30-06-24,,Toys,308.89,4,,Not Returned,,68,Female,Other,Debit Card,Express,35.45,1235.56,0,65+,0.5277394196581998
ORD00000033,PROD00000033,USER00000033,03-02-24,18-08-23,Home,335.28,4,Wrong item,Returned,-169.0,18,Male,Other,Debit Card,Next-Day,25.37,1341.12,1,,0.5337197646757994
ORD00000034,PROD00000034,USER00000034,07-09-23,,Toys,290.49,3,,Not Returned,,34,Male,Other,PayPal,Next-Day,8.51,871.47,0,26–35,0.47053136494113623
ORD00000035,PROD00000035,USER00000035,23-07-24,,Clothing,331.26,2,,Not Returned,,46,Female,Other,PayPal,Standard,41.02,662.52,0,46–55,0.620940537019417
ORD00000036,PROD00000036,USER00000036,07-01-24,29-08-23,Electronics,115.82,5,Defective,Returned,-131.0,54,Female,City43,Credit Card,Express,23.76,579.0999999999999,1,46–55,0.5774412774357647
ORD00000037,PROD00000037,USER00000037,11-02-23,10-05-24,Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,Other,Gift Card,Standard,23.63,246.15,1,26–35,0.5390281149147929
ORD00000038,PROD00000038,USER00000038,17-02-23,,Toys,43.82,2,,Not Returned,,28,Female,Other,Credit Card,Next-Day,14.6,87.64,0,26–35,0.4668925943924911
ORD00000039,PROD00000039,USER00000039,27-10-24,19-10-24,Toys,266.34,4,Wrong item,Returned,-8.0,44,Female,Other,PayPal,Standard,30.88,1065.36,1,36–45,0.4556635247201412
ORD00000040,PROD00000040,USER00000040,21-03-23,,Toys,351.52,1,,Not Returned,,46,Male,Other,PayPal,Next-Day,11.58,351.52,0,46–55,0.4616978452084791
ORD00000041,PROD00000041,USER00000041,03-01-24,15-01-23,Books,334.27,4,Changed mind,Returned,-353.0,69,Male,City81,PayPal,Express,43.44,1337.08,1,65+,0.5183602153617778
ORD00000042,PROD00000042,USER00000042,10-02-24,,Books,240.65,2,,Not Returned,,33,Female,Other,Gift Card,Standard,12.93,481.3,0,26–35,0.5323051717222403
ORD00000043,PROD00000043,USER00000043,23-05-24,05-06-24,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,Other,Credit Card,Next-Day,42.07,317.1,1,36–45,0.49766333734367546
ORD00000044,PROD00000044,USER00000044,10-10-24,,Home,188.76,3,,Not Returned,,66,Female,Other,Gift Card,Standard,12.68,566.28,0,65+,0.5425368998294959
ORD00000045,PROD00000045,USER00000045,15-11-23,05-02-23,Toys,294.18,2,Changed mind,Returned,-283.0,69,Male,Other,Gift Card,Next-Day,32.7,588.36,1,65+,0.5155115634551352
ORD00000046,PROD00000046,USER00000046,22-05-23,09-03-24,Home,97.31,2,Changed mind,Returned,292.0,53,Female,Other,Debit Card,Next-Day,10.96,194.62,1,46–55,0.44049754061740753
ORD00000047,PROD00000047,USER00000047,23-10-24,22-03-24,Home,335.96,2,Wrong item,Returned,-215.0,63,Male,Other,Credit Card,Standard,19.05,671.92,1,56–65,0.4728388882529267
ORD00000048,PROD00000048,USER00000048,19-04-24,16-11-23,Electronics,344.31,4,Not as described,Returned,-155.0,36,Male,Other,Credit Card,Express,10.99,1377.24,1,36–45,0.5887402026611815
ORD00000049,PROD00000049,USER00000049,14-03-24,,Clothing,297.62,4,,Not Returned,,52,Male,Other,Credit Card,Express,16.9,1190.48,0,46–55,0.42301809916939537
ORD00000050,PROD00000050,USER00000050,14-06-23,21-07-24,Books,23.6,1,Defective,Returned,403.0,37,Female,Other,Credit Card,Next-Day,6.53,23.6,1,36–45,0.5810416517889271
ORD00000051,PROD00000051,USER00000051,27-03-24,,Toys,495.34,3,,Not Returned,,46,Female,Other,Debit Card,Express,43.34,1486.02,0,46–55,0.5473841985696463
ORD00000052,PROD00000052,USER00000052,22-02-24,,Toys,49.47,2,,Not Returned,,53,Female,Other,Credit Card,Express,38.09,98.94,0,46–55,0.4062445430983353
ORD00000053,PROD00000053,USER00000053,12-03-24,21-05-23,Clothing,359.9,3,Defective,Returned,-296.0,55,Female,Other,Debit Card,Standard,3.01,1079.6999999999998,1,46–55,0.47152251279324287
ORD00000054,PROD00000054,USER00000054,12-02-23,,Home,283.79,2,,Not Returned,,42,Male,Other,Debit Card,Next-Day,30.81,567.58,0,36–45,0.4501558435272974
ORD00000055,PROD00000055,USER00000055,30-04-23,11-04-23,Home,352.93,4,Changed mind,Returned,-19.0,34,Male,Other,Gift Card,Express,22.83,1411.72,1,26–35,0.5057848737586491
ORD00000056,PROD00000056,USER00000056,04-02-24,,Electronics,353.51,4,,Not Returned,,39,Female,Other,Debit Card,Standard,17.72,1414.04,0,36–45,0.5423588741503171
ORD00000057,PROD00000057,USER00000057,22-09-24,10-09-23,Books,301.68,2,Changed mind,Returned,-378.0,47,Male,Other,PayPal,Standard,30.59,603.36,1,46–55,0.4331753521370743
ORD00000058,PROD00000058,USER00000058,06-05-24,,Home,129.94,5,,Not Returned,,65,Female,Other,PayPal,Next-Day,12.83,649.7,0,56–65,0.4121934864144416
ORD00000059,PROD00000059,USER00000059,13-02-23,,Electronics,16.37,2,,Not Returned,,32,Male,Other,Credit Card,Next-Day,16.08,32.74,0,26–35,0.5168837090575812
ORD00000060,PROD00000060,USER00000060,26-10-24,24-02-24,Books,389.83,4,Wrong item,Returned,-245.0,40,Female,Other,Gift Card,Express,12.23,1559.32,1,36–45,0.5368924645151414
ORD00000061,PROD00000061,USER00000061,06-11-24,,Home,344.6,4,,Not Returned,,28,Female,Other,PayPal,Next-Day,40.95,1378.4,0,26–35,0.5123407843800993
ORD00000062,PROD00000062,USER00000062,12-12-23,,Clothing,195.24,5,,Not Returned,,53,Female,City3,Gift Card,Express,16.1,976.2,0,46–55,0.47824410203919915
ORD00000063,PROD00000063,USER00000063,21-11-23,,Clothing,428.0,1,,Not Returned,,50,Female,City81,Debit Card,Standard,12.39,428.0,0,46–55,0.494209142086411
ORD00000064,PROD00000064,USER00000064,06-07-24,17-03-23,Books,429.41,3,Wrong item,Returned,-477.0,53,Male,Other,Debit Card,Next-Day,13.22,1288.23,1,46–55,0.5298739951257329
ORD00000065,PROD00000065,USER00000065,03-06-23,22-09-23,Toys,280.61,2,Defective,Returned,111.0,32,Male,Other,Debit Card,Express,2.34,561.22,1,26–35,0.3877770276620889
ORD00000066,PROD00000066,USER00000066,08-09-24,,Books,142.71,2,,Not Returned,,60,Female,Other,Debit Card,Next-Day,19.05,285.42,0,56–65,0.538100548927799
ORD00000067,PROD00000067,USER00000067,07-11-23,30-05-23,Toys,227.79,3,Not as described,Returned,-161.0,70,Female,Other,Gift Card,Next-Day,27.11,683.37,1,65+,0.5072723116400354
ORD00000068,PROD00000068,USER00000068,13-11-23,16-06-24,Electronics,394.08,3,Wrong item,Returned,216.0,62,Male,City28,Credit Card,Next-Day,12.27,1182.24,1,56–65,0.48216569854543667
ORD00000069,PROD00000069,USER00000069,11-06-24,,Clothing,266.88,2,,Not Returned,,65,Female,City3,Debit Card,Next-Day,21.32,533.76,0,56–65,0.4740304562163448
ORD00000070,PROD00000070,USER00000070,24-05-24,21-06-23,Toys,87.17,4,Defective,Returned,-338.0,46,Female,Other,Gift Card,Express,32.02,348.68,1,46–55,0.5493996359435166
ORD00000071,PROD00000071,USER00000071,21-08-24,,Toys,312.45,4,,Not Returned,,30,Female,Other,PayPal,Next-Day,33.19,1249.8,0,26–35,0.48473227798954993
ORD00000072,PROD00000072,USER00000072,30-03-23,,Toys,481.58,3,,Not Returned,,39,Male,Other,Debit Card,Next-Day,22.71,1444.74,0,36–45,0.467707658933523
ORD00000073,PROD00000073,USER00000073,10-07-23,,Clothing,283.14,5,,Not Returned,,62,Male,City43,Credit Card,Standard,17.53,1415.6999999999998,0,56–65,0.5682877894711247
ORD00000074,PROD00000074,USER00000074,21-02-24,,Toys,84.9,5,,Not Returned,,67,Female,City43,Gift Card,Next-Day,46.26,424.5,0,65+,0.5931749015841692
ORD00000075,PROD00000075,USER00000075,08-05-23,19-01-24,Electronics,332.39,5,Not as described,Returned,256.0,36,Male,Other,Debit Card,Next-Day,24.31,1661.9499999999998,1,36–45,0.43146317496545283
ORD00000076,PROD00000076,USER00000076,30-05-23,,Electronics,139.6,5,,Not Returned,,34,Male,Other,PayPal,Standard,13.87,698.0,0,26–35,0.5489752088004399
ORD00000077,PROD00000077,USER00000077,09-04-23,21-01-24,Books,185.34,2,Not as described,Returned,287.0,31,Female,Other,PayPal,Standard,36.01,370.68,1,26–35,0.5193250907916662
ORD00000078,PROD00000078,USER00000078,07-05-23,10-08-24,Toys,64.29,2,Not as described,Returned,461.0,39,Male,Other,Debit Card,Express,47.4,128.58,1,36–45,0.5087827656136408
ORD00000079,PROD00000079,USER00000079,07-08-24,,Electronics,231.65,5,,Not Returned,,58,Male,Other,Debit Card,Standard,45.83,1158.25,0,56–65,0.5452491589995571
ORD00000080,PROD00000080,USER00000080,02-04-23,,Electronics,44.48,1,,Not Returned,,50,Male,Other,Debit Card,Express,27.66,44.48,0,46–55,0.5224966450574811
ORD00000081,PROD00000081,USER00000081,21-03-24,13-09-23,Clothing,429.47,5,Defective,Returned,-190.0,39,Male,Other,Gift Card,Standard,44.36,2147.3500000000004,1,36–45,0.6707157249691841
ORD00000082,PROD00000082,USER00000082,17-03-23,31-08-23,Electronics,496.22,5,Changed mind,Returned,167.0,67,Male,City36,Gift Card,Next-Day,32.87,2481.1000000000004,1,65+,0.4444946832176124
ORD00000083,PROD00000083,USER00000083,08-06-23,23-10-24,Electronics,52.19,1,Not as described,Returned,503.0,21,Female,Other,Debit Card,Standard,35.14,52.19,1,18–25,0.5012388333583675
ORD00000084,PROD00000084,USER00000084,18-11-24,,Books,427.29,3,,Not Returned,,51,Male,City28,PayPal,Standard,46.46,1281.8700000000001,0,46–55,0.52384875572472
ORD00000085,PROD00000085,USER00000085,13-04-23,,Home,283.68,3,,Not Returned,,49,Male,Other,Credit Card,Next-Day,38.31,851.04,0,46–55,0.5908087403011605
ORD00000086,PROD00000086,USER00000086,06-03-24,,Home,255.78,2,,Not Returned,,63,Female,Other,Credit Card,Next-Day,34.49,511.56,0,56–65,0.4425871931476105
ORD00000087,PROD00000087,USER00000087,03-08-23,,Books,478.47,4,,Not Returned,,22,Female,Other,PayPal,Standard,9.06,1913.88,0,18–25,0.6343166019231358
ORD00000088,PROD00000088,USER00000088,12-12-23,27-09-23,Electronics,78.94,2,Changed mind,Returned,-76.0,23,Female,City1,Credit Card,Express,49.94,157.88,1,18–25,0.5545471994730782
ORD00000089,PROD00000089,USER00000089,31-07-23,,Home,481.66,3,,Not Returned,,28,Male,Other,PayPal,Next-Day,20.8,1444.98,0,26–35,0.4902084779552653
ORD00000090,PROD00000090,USER00000090,10-10-24,,Toys,193.16,3,,Not Returned,,56,Male,Other,PayPal,Express,26.81,579.48,0,56–65,0.4572616140665719
ORD00000091,PROD00000091,USER00000091,25-12-24,11-08-24,Toys,99.21,1,Not as described,Returned,-136.0,29,Female,Other,PayPal,Next-Day,30.21,99.21,1,26–35,0.4825708368577897
ORD00000092,PROD00000092,USER00000092,02-10-23,27-02-24,Home,394.71,4,Changed mind,Returned,148.0,66,Female,Other,Gift Card,Next-Day,16.01,1578.84,1,65+,0.3352360983192251
ORD00000093,PROD00000093,USER00000093,29-07-23,01-07-24,Home,230.9,2,Defective,Returned,338.0,69,Male,Other,Credit Card,Next-Day,26.62,461.8,1,65+,0.6079903712347697
ORD00000094,PROD00000094,USER00000094,03-04-24,,Clothing,296.56,1,,Not Returned,,39,Female,Other,Gift Card,Standard,32.02,296.56,0,36–45,0.50368203911328
ORD00000095,PROD00000095,USER00000095,27-02-23,,Books,490.55,1,,Not Returned,,62,Male,Other,PayPal,Standard,17.9,490.55,0,56–65,0.600444082161251
ORD00000096,PROD00000096,USER00000096,18-06-23,08-11-23,Toys,496.31,4,Defective,Returned,143.0,53,Male,Other,Gift Card,Next-Day,10.15,1985.24,1,46–55,0.4715780106910732
ORD00000097,PROD00000097,USER00000097,08-12-24,15-04-24,Toys,104.39,2,Defective,Returned,-237.0,58,Female,Other,Credit Card,Standard,28.68,208.78,1,56–65,0.3854504317840649
ORD00000098,PROD00000098,USER00000098,21-02-24,,Clothing,434.25,5,,Not Returned,,18,Female,Other,Gift Card,Express,7.11,2171.25,0,,0.4769078156347427
ORD00000099,PROD00000099,USER00000099,07-12-23,30-12-24,Books,46.61,1,Wrong item,Returned,389.0,42,Male,Other,Credit Card,Next-Day,8.9,46.61,1,36–45,0.5792758347862911
ORD00000100,PROD00000100,USER00000100,30-10-23,,Clothing,284.49,4,,Not Returned,,48,Female,Other,Credit Card,Next-Day,39.82,1137.96,0,46–55,0.530785727893337
ORD00000101,PROD00000101,USER00000101,01-05-24,20-08-24,Books,169.93,5,Wrong item,Returned,111.0,40,Male,Other,Credit Card,Next-Day,27.73,849.6500000000001,1,36–45,0.5067469550758825
ORD00000102,PROD00000102,USER00000102,21-09-23,,Books,146.37,4,,Not Returned,,23,Female,Other,Debit Card,Express,42.55,585.48,0,18–25,0.5562955628886126
ORD00000103,PROD00000103,USER00000103,08-09-24,,Electronics,444.43,4,,Not Returned,,48,Female,Other,Debit Card,Next-Day,28.53,1777.72,0,46–55,0.5108403027006848
ORD00000104,PROD00000104,USER00000104,10-04-23,24-10-23,Home,35.16,3,Defective,Returned,197.0,48,Female,Other,PayPal,Next-Day,3.9,105.47999999999999,1,46–55,0.4708246767408303
ORD00000105,PROD00000105,USER00000105,12-06-23,,Home,287.93,4,,Not Returned,,66,Female,Other,Debit Card,Standard,3.37,1151.72,0,65+,0.45974939697325434
ORD00000106,PROD00000106,USER00000106,03-09-23,04-04-23,Books,448.84,2,Changed mind,Returned,-152.0,60,Male,Other,Gift Card,Express,26.3,897.68,1,56–65,0.5166271142543112
ORD00000107,PROD00000107,USER00000107,09-10-23,,Toys,168.68,2,,Not Returned,,48,Male,City22,PayPal,Standard,44.53,337.36,0,46–55,0.46620803382171216
ORD00000108,PROD00000108,USER00000108,17-10-24,,Books,466.62,3,,Not Returned,,24,Male,Other,Debit Card,Express,8.36,1399.8600000000001,0,18–25,0.4520851391094137
ORD00000109,PROD00000109,USER00000109,27-08-24,,Clothing,51.56,4,,Not Returned,,37,Male,Other,Credit Card,Express,44.74,206.24,0,36–45,0.6463672183494553
ORD00000110,PROD00000110,USER00000110,31-05-24,,Toys,79.31,1,,Not Returned,,37,Female,City36,Gift Card,Next-Day,29.18,79.31,0,36–45,0.4571240630060073
ORD00000111,PROD00000111,USER00000111,03-08-24,01-09-23,Home,315.11,5,Defective,Returned,-337.0,50,Female,Other,PayPal,Express,37.68,1575.5500000000002,1,46–55,0.6474580611100452
ORD00000112,PROD00000112,USER00000112,12-05-24,06-04-23,Clothing,259.57,2,Not as described,Returned,-402.0,55,Female,Other,Credit Card,Next-Day,40.28,519.14,1,46–55,0.5600206474237155
ORD00000113,PROD00000113,USER00000113,10-03-24,,Clothing,137.72,3,,Not Returned,,45,Male,Other,Debit Card,Standard,1.13,413.15999999999997,0,36–45,0.5010141507196816
ORD00000114,PROD00000114,USER00000114,07-01-23,,Electronics,464.67,4,,Not Returned,,54,Male,City26,Gift Card,Standard,19.21,1858.68,0,46–55,0.5201326035874461
ORD00000115,PROD00000115,USER00000115,07-06-24,01-06-23,Toys,197.66,4,Not as described,Returned,-372.0,59,Female,Other,Credit Card,Next-Day,42.31,790.64,1,56–65,0.5929157498062358
ORD00000116,PROD00000116,USER00000116,26-09-23,15-07-24,Books,79.9,4,Defective,Returned,293.0,42,Female,Other,PayPal,Express,22.19,319.6,1,36–45,0.507564008110714
ORD00000117,PROD00000117,USER00000117,04-02-24,17-09-24,Electronics,265.23,4,Changed mind,Returned,226.0,57,Male,Other,Credit Card,Next-Day,49.85,1060.92,1,56–65,0.5611528523236989
ORD00000118,PROD00000118,USER00000118,04-12-23,01-07-23,Books,91.84,2,Not as described,Returned,-156.0,56,Female,Other,Credit Card,Next-Day,31.58,183.68,1,56–65,0.5851877926815001
ORD00000119,PROD00000119,USER00000119,13-04-23,,Clothing,468.62,2,,Not Returned,,31,Male,Other,Gift Card,Next-Day,46.77,937.24,0,26–35,0.555611618534717
ORD00000120,PROD00000120,USER00000120,08-08-24,13-10-24,Books,245.44,5,Changed mind,Returned,66.0,29,Female,Other,PayPal,Standard,25.44,1227.2,1,26–35,0.5089961205573112
ORD00000121,PROD00000121,USER00000121,06-09-23,,Toys,116.2,2,,Not Returned,,37,Male,Other,Gift Card,Next-Day,48.36,232.4,0,36–45,0.49821136094200813
ORD00000122,PROD00000122,USER00000122,12-06-24,,Home,400.21,3,,Not Returned,,69,Female,Other,PayPal,Standard,36.32,1200.6299999999999,0,65+,0.5063892782817212
ORD00000123,PROD00000123,USER00000123,04-07-24,02-11-23,Electronics,490.8,2,Changed mind,Returned,-245.0,37,Female,Other,Credit Card,Express,43.37,981.6,1,36–45,0.51878678134923
ORD00000124,PROD00000124,USER00000124,09-03-23,,Books,310.14,2,,Not Returned,,54,Male,Other,PayPal,Express,22.6,620.28,0,46–55,0.4950498334532049
ORD00000125,PROD00000125,USER00000125,20-12-24,,Home,247.46,2,,Not Returned,,48,Male,Other,Gift Card,Next-Day,19.97,494.92,0,46–55,0.43169834325866197
ORD00000126,PROD00000126,USER00000126,14-01-23,,Home,255.71,2,,Not Returned,,57,Male,Other,Credit Card,Standard,7.64,511.42,0,56–65,0.4041537912383155
ORD00000127,PROD00000127,USER00000127,03-03-24,,Books,172.02,1,,Not Returned,,46,Female,Other,Credit Card,Next-Day,2.75,172.02,0,46–55,0.44258093825861616
ORD00000128,PROD00000128,USER00000128,01-12-23,,Clothing,170.05,2,,Not Returned,,23,Male,Other,Debit Card,Express,35.55,340.1,0,18–25,0.4840282544341083
ORD00000129,PROD00000129,USER00000129,09-04-24,,Toys,314.35,3,,Not Returned,,22,Male,City3,Credit Card,Standard,15.81,943.0500000000001,0,18–25,0.4577570599744531
ORD00000130,PROD00000130,USER00000130,25-02-24,,Electronics,319.34,1,,Not Returned,,54,Male,Other,Gift Card,Next-Day,18.74,319.34,0,46–55,0.44451159477575464
ORD00000131,PROD00000131,USER00000131,24-05-24,10-10-23,Books,219.29,2,Changed mind,Returned,-227.0,56,Male,Other,Credit Card,Express,32.59,438.58,1,56–65,0.43570494302100266
ORD00000132,PROD00000132,USER00000132,15-02-23,03-09-24,Electronics,174.94,1,Defective,Returned,566.0,62,Female,Other,PayPal,Next-Day,22.43,174.94,1,56–65,0.5042439615078647
ORD00000133,PROD00000133,USER00000133,04-03-24,,Home,85.28,2,,Not Returned,,20,Female,Other,Credit Card,Express,1.55,170.56,0,18–25,0.4385298599878816
ORD00000134,PROD00000134,USER00000134,25-01-23,05-01-23,Books,18.83,1,Wrong item,Returned,-20.0,27,Male,City26,Gift Card,Standard,1.57,18.83,1,26–35,0.523008820639714
ORD00000135,PROD00000135,USER00000135,31-05-24,16-07-23,Electronics,291.09,4,Changed mind,Returned,-320.0,19,Female,Other,Debit Card,Express,8.37,1164.36,1,18–25,0.5199309907923428
ORD00000136,PROD00000136,USER00000136,23-01-23,11-06-23,Toys,386.51,1,Wrong item,Returned,139.0,27,Male,Other,Credit Card,Standard,10.19,386.51,1,26–35,0.5104794409246826
ORD00000137,PROD00000137,USER00000137,17-07-24,13-01-24,Electronics,285.21,4,Not as described,Returned,-186.0,32,Male,Other,Debit Card,Next-Day,40.21,1140.84,1,26–35,0.5874339025790983
ORD00000138,PROD00000138,USER00000138,01-08-23,,Clothing,238.63,2,,Not Returned,,46,Female,Other,Credit Card,Express,20.89,477.26,0,46–55,0.5178367476584123
ORD00000139,PROD00000139,USER00000139,09-04-24,13-10-23,Books,16.55,4,Changed mind,Returned,-179.0,21,Female,Other,Credit Card,Express,22.61,66.2,1,18–25,0.4312958991499398
ORD00000140,PROD00000140,USER00000140,09-10-24,15-10-23,Home,161.94,5,Changed mind,Returned,-360.0,68,Female,Other,Gift Card,Standard,35.96,809.7,1,65+,0.5309253703838595
ORD00000141,PROD00000141,USER00000141,29-07-23,13-05-24,Clothing,173.42,1,Wrong item,Returned,289.0,33,Female,Other,Gift Card,Express,26.04,173.42,1,26–35,0.5247412194898464
ORD00000142,PROD00000142,USER00000142,17-10-23,,Electronics,199.13,4,,Not Returned,,50,Female,Other,Credit Card,Express,4.82,796.52,0,46–55,0.4441483833243402
ORD00000143,PROD00000143,USER00000143,01-01-23,,Electronics,219.56,1,,Not Returned,,24,Female,Other,Debit Card,Standard,1.05,219.56,0,18–25,0.44626293064025974
ORD00000144,PROD00000144,USER00000144,03-08-24,16-05-24,Toys,288.71,3,Defective,Returned,-79.0,60,Male,Other,Credit Card,Express,42.11,866.1299999999999,1,56–65,0.4818495598513589
ORD00000145,PROD00000145,USER00000145,10-10-23,,Clothing,66.65,2,,Not Returned,,58,Female,Other,PayPal,Express,38.8,133.3,0,56–65,0.5597552447138661
ORD00000146,PROD00000146,USER00000146,12-10-24,,Clothing,328.09,3,,Not Returned,,59,Female,Other,Gift Card,Next-Day,8.73,984.27,0,56–65,0.49286202772305115
ORD00000147,PROD00000147,USER00000147,18-12-24,,Clothing,222.62,3,,Not Returned,,53,Female,Other,PayPal,Express,10.03,667.86,0,46–55,0.5133858702593188
ORD00000148,PROD00000148,USER00000148,27-10-24,,Toys,404.5,1,,Not Returned,,31,Female,Other,Gift Card,Express,44.89,404.5,0,26–35,0.5128081266193133
